Prodotto;Tipo tubo;Diametro rame inferiore;Spessore guaina inferiore;Diametro rame superiore;Spessore guaina superiore;Diametro Rame;Spessore Guaina (mm);Diametro esterno Guaina (mm);Lunghezza (m);Velocita linea (m/min);Boccole rulliera adrizzatubo;Boccola uscita rulliera;Rulliera adrizzatubo;Boccola uscita traino;Rulli convogliatore (mm);Rulli estrusore(mm);Ruote godronatore;Soffiatori aria (mm);Rulli avvolgitore (mm);Paleta ferma coda (mm);Guidatubo (mm);Spalla (mm);Diametro aspo (mm);Nº Spire;Interasse regetta (mm);Velocita recupero (m/min);Quota start pinza (mm);Quota coda tubo (mm);Quota chiusura morsa coda (mm);Ritardo invers max (º);Ritardo invers min (º);Quota massima (mm);Quota minima (mm);Passo (mm);Incremento strato (mm);Coppia lavoro (%);Riduzione coppia (%);Coppia recupero (%);Fattore passo effettivo;Fattore compatazione radiale
1/4 sp7 50mt;Singolo;;;;; 1/4;7;22;50;30; 1/4; 1/4; 1/4; 1/4;18-21;21;19-22;40-30;30;90;25;97;490;5;490;75-80;950;1000;200;340;310;60;1;22;18;15;1,5;17;;
3/8 sp7 25 mt;Singolo;;;;; 3/8;7;24;25;20; 3/8; 3/8; 3/8; 3/8;21;24;19-22;40-30;5;1/4 50 ft;25;69,5;450;2;460;95;950;910;200;360;355;35;1;22;23;13;1,5;20;;
3/8 sp7 50 mt;Singolo;;;;; 3/8;7;24;50;30; 3/8; 3/8; 3/8; 3/8;21;24;19-22;40-30;30;90;25;97;450;4;460;95;950;940;200;350;350;59;1;25;20;16;15;23;;
5/8 sp7 50 mt;Singolo;;;;; 5/8;7;30;50;21; 5/8; 5/8; 5/8; 5/8;28;22;19-22;40-45;100;140;35;165;450;5;450;95;965;940;200;340;340;120;1;29,5;29;24;1,5;27;;
5/8 sp7 25 mt;Singolo;;;;; 5/8;7;30;50;21; 5/8; 5/8; 5/8; 5/8;28;22;19-22;40-45;30;90;35;100;450;3;480;90;945;940;200;360;360;58;1;28,5;26;23;1,5;25;;
3/4 sp7 25 mt;Singolo;;;;; 3/4;7;33;25;20; 3/4; 3/4; 3/4; 3/4;28;22;19-22;40-45;65;205;35;130;490;4;497;95;850;860;200;360;360;90;1;32,8;28;10;1,5;18;;
7/8 sp7 25 mt;Singolo;;;;; 7/8;7;36;25;15; 7/8; 7/8; 7/8; 7/8;36;36;19-22;52-52;80;140;40;150;490;4;500;80;895;700;150;350;350;100;1;39;32;12;1,5;25;;
1/4 sp8 25 mt;Singolo;;;;; 1/4;8;23;25;20; 1/4; 1/4; 1/4; 1/4;18-21-18;21;19-22;40-30;0;60;25;74;450;4;450;80;950;910;200;350;350;38;1;21,5;20;15;1,5;20;;
3/8 sp8 25 mt;Singolo;;;;; 3/8;8;26;50;30; 3/8; 3/8; 3/8; 3/8;24;21;19;35;50;100;25;117;450;4;440;95;970;890;200;360;360;85;1;26,7;21;16;1,5;20;;
1/2 sp8 50mt;Singolo;;;;; 1/2;8;28;50;20; 1/2; 1/2; 1/2; 1/2;18-21-18;21;19-22;40-35;100;140;30;161;450;5;450;95;965;940;200;325;330;120;1;28,5;26;19;1,5;25;;
3/8 sp 10 50 mt;Singolo;;;;; 3/8;10;29;50;30; 3/8; 3/8; 3/8; 3/8;28;24;19-22;30-45;100;140;30;165;450;5;470;95;965;940;200;350;350;122;1;28;27;19;1,5;21;;
1/4 sp1/2 50 ft;Singolo;;;;; 1/4;12;31;15,2;10; 1/4; 1/4; 1/4; 1/4;28;22;19-22;40-45;5;1/4 50 ft;35;67;490;2;500;95;950;998;200;330;360;24;1;34,5;18;16;1,5;21;1,37;1,24
1/4 sp1/2 164 ft;Singolo;;;;; 1/4;12;31;50;30; 1/4; 1/4; 1/4; 1/4;28;22;22;40-45;100;160;35;185;450;5;470;95;950;890;200;356;282;142;1;34,3;22;14;1,5;23;1,2;0,93
3/8 sp1/2 50 ft;Singolo;;;;; 3/8;12;34;15,2;10; 3/8; 3/8; 3/8; 3/8;28;22;22;40-45;20;60;35;82;450;2;470;70;950;890;200;320;320;36;1;36,5;26;15;1,5;23;;
3/8 sp 1/2 164 ft;Singolo;;;;; 3/8;12;34;15,2;10; 3/8; 3/8; 3/8; 3/8;28;22;22;40-45;130;180;35;200;450;5;480;95;950;940;200;350;350;155;1;36;29;15;1,5;25;1,25;0,75
